NOM;SITUATION;LATITUDE;LONGITUDE;ANNEXES;EMPLACEMENTS;ELECTRICITE;EAUX GRISES;RESTAURATION;PISCINE;TARIF;NOTATION
MIRA-MONTE;EXTERIEUR TANGER, QUARTIER MASHRAM;35.790960;-5.831704;CHAMBRES;30;OUI;OUI;OUI;OUI;120;2
ACHAKKAR;TANGER, CAP SPARTEL;35,08;-5.937050;BUNGALOWS;80;OUI;OUI;NON;NON;110;4
VILLAGE TOURISTIQUE DE BRIECH;ENTRE CAP SPARTEL ET ASSILAH;35.528933;-5.998913;CHAMBRES;40;OUI;NON;OUI;OUI;120;3
MOULAY BOUSSELHAM;PRES DU PORT;34.876400;-6.288531;;200;OUI;OUI;OUI;NON;110;3
FLAMANDS LOISIRS;PRES DU PORT;34.872718;-6.277577;BUNGALOWS;60;OUI;OUI;OUI;OUI;100;4
MEHDIA PLAGE;BANLIEUE KENITRA PRES DE LA PLAGE;34.259658;-6.67289;;50;OUI;OUI;OUI;NON;110;2
CABO-NEGRO LA FERMA;ENTRE CEUTA ET M'DIQ;35,15;5,13;HOTEL;30;NON;NON;OUI;NON;70;3
AL BOUSTANE;MARTIL;35,15;5,13;;60;OUI;OUI;OUI;OUI;110;3
AZLA;AZLA AU BORD DE MER;35,05;5,07;;40;OUI;NON;NON;NON;70;2
AZILAN;HAUTEUR CHECHAOUEN;35,18;5,27;;100;OUI;NON;NON;NON;100;3
LE RIF;COMMUNE OUAZZENNE A 4KM;34,10;5,04;CHAMBRES;25;OUI;OUI;OUI;OUI;70;3
ZERHOUN BELLEVUE;COMMUNE ZERHOUN;34,00;5,05;;70;OUI;OUI;OUI;NON;75;2
DIAMANT VERT;ROUTE SIDI HRAZEM;33,15;5,02;BUNGALOWS;100;OUI;OUI;NON;OUI;110;3
INTERNATIONAL DE FES;A COTE DU GRAND STADE;34,00;4,13;;110;OUI;OUI;OUI;NON;110;3
CARAVANE SERAIL;VENANT DE FES 2 KM A SEFROU;33,15;4,00;;50;NON;NON;NON;NON;50;1
CHAMS;CENTRE SAIDIA;35,07;2,05;;30;OUI;OUI;NON;NON;60;2
L'AMAZONE;CENTRE SAIDIA;35,09;2,05;;30;OUI;OUI;NON;NON;60;2
INTERNATIONAL L'OASIS;SUD CASABLAMCA SORTIE DAR BOUAZZA;33,00;7,08;;50;OUI;OUI;NON;NON;95;3
HAWAI;AU NORD DE SIDI RAHAL;33,15;7,03;;30;OUI;NON;NON;OUI;80;2
INTERNATIONAL EL JADIDA;EN VILLE;33,07;8,05;BUNGALOWS;100;OUI;NON;NON;NON;80;3
BEDOUZA BEACH ESTIVALE;ROUTE COTIERE;32,03;9,08;;20;NON;NON;NON;NON;60;2
COMPLEXE DE SAFI;A L'EXTERIEUR DE VILLE;32,15;9,04;;100;OUI;OUI;OUI;NON;100;4
CAMPING DE LA PLAGE;COMMUNE AKERMOUNE;21,13;9,02;;20;OUI;NON;NON;NON;70;2
CAMPING ESPRIT NATURE;DEPUIS ESSAOUIRA;31,05;9,09;;34;OUI;OUI;OUI;OUI;115;3
SIDI MAGDOUL;SORTIE SUD ESSAOUIRA;31,15;9,08;BUNGALOWS;50;OUI;OUI;NON;NON;75;3
LES OLIVIERS;COMMUNE OUNARA;31,01;9,08;BUNGALOWS;30;OUI;OUI;OUI;OUI;90;3
LE CALME;COMMUNE DE ARBA;31,10;9,02;CHAMBRES;60;OUI;OUI;OUI;OUI;95;4
KAOUKI BEACH;COMMUNE DE SIDI KAOUKI;31,02;9,07;;40;OUI;OUI;OUI;NON;75;3
DAR CH'TI;COMMUNE DE SIDI KAOUKI;31,07;9,05;;15;OUI;OUI;NON;OUI;80;5
RELAIS DE MARRAKESH;AU NORD DE MARRAKESH;31,03;7,15;TENTES ET CHAMBRES;100;OUI;OUI;OUI;OUI;100;5
FERDAOUS;AU NORD DE MARRAKESH;31,05;7,13;;200;OUI;OUI;OUI;NON;60;3
MANZIL LA TORTUE;OUARZAZATE;31,10;7,03;CHAMBRES;25;OUI;OUI;OUI;OUI;150;5
OURIKA CAMP;MARRAKESH ROUTE OURIKA;31,02;7,05;CHAMBRES;70;OUI;OUI;OUI;OUI;140;5
OCEAN BLEU;MOHEMMADIA;33,07;7,15;;60;OUI;OUI;NON;NON;90;4
OUBAHA PLAGE;MOHEMMADIA;33,05;7,00;;50;OUI;OUI;NON;NON;70;2
MIMOSA BEACH;MOHEMMADIA;33,05;7,00;CHAMBRES;25;OUI;OUI;OUI;NON;75;3
LAC D'AYET AOUA;IMMOUZER;33,15;5,04;;5;OUI;NON;NON;NON;110;4
EUROCAMPING;ROUTE DE AZROU A IFRANE;33,10;5,03;APPARTEMENTS;200;OUI;OUI;OUI;OUI;90;5
AMAZIGH;ROUTE DE AZROU A IFRANE;33,10;5,00;;40;OUI;OUI;NON;NON;70;4
LARNOUSSA;20 KM A SEFROU;33,12;4,03;;10;OUI;OUI;OUI;OUI;80;3
MAGOT DE L'ATLAS;ROUTE TAGOUNIT;33,14;5,00;CHAMBRES;10;OUI;NON;OUI;NON;75;3
AUBERGE FERME FASKA;COMMUNE MRIRT SUR N8;33,09;5,02;CHAMBRES ET APPARTEMENTS;10;OUI;OUI;OUI;NON;60;3
GITE OUIWANNE;ROUTE KHENIFRA;33,12;5,00;1 CHALET;6;OUI;NON;NON;NON;75;2
COL DU ZAD;ENTRE AZROU ET BOULOJUL;33,05;5,03;;10;OUI;NON;NON;NON;50;2
TIMNAY;8 KM APRES ZAIDIA VERS MIDELT;32,08;4,92;CHAMBRES;100;OUI;OUI;OUI;OUI;100;4
MUNICIPALE MIDELT;CENTRE VILLE;32,00;4,07;;36;OUI;OUI;NON;NON;60;3
CHEZ MOHA;VILLAGE AIT YOUBA;32,00;5,00;CHAMBRES;4;OUI;NON;OUI;OUI;60;3
CHEZ PAULINE;COMMUNE TADIGHOUST;31,15;4,12;CHAMBRES;4;OUI;OUI;OUI;NON;70;4
TIZMOUTINE;ENTRE TINGHIR ET GOULMIMA;31,12;5,02;CHAMBRES;50;OUI;OUI;OUI;NON;70;3
LES TAMARIS;GOULMIMA;31,02;4,12;;50;OUI;OUI;OUI;OUI;65;4
PLEIN MAROC;COMMUNE TAMJART;32,11;7,15;CHAMBRES;5;OUI;NON;OUI;NON;60;3
LE GITE LAC MAISON D'HOTE L'EAU VIVE;APRES BARRAGE BIN EL OUIDANE;32,10;6,13;;15;OUI;NON;OUI;NON;60;2
TIGHREMT AHANSAL;DOUAR AHANSAL;31,00;6,10;;8;OUI;NON;NON;NON;70;2
DE LA NATURE;CASCADES OUZOUD;32,00;6,05;;20;OUI;NON;NON;NON;75;2
TASGA;COMMUNE TELLOUET;31,12;7,07;CHAMBRES;20;OUI;OUI;OUI;NON;75;3
ZEBRA;AVANT CASCADES OUZOUD;32,00;6,05;;20;OUI;OUI;OUI;NON;75;3
FLILOU LA MAISON BERBERE;VALLEE AIT BOUGMEZ;31,14;6,13;;10;OUI;NON;NON;NON;75;2
BERBERE LA MONTAGNE;GORGES DE DADES;31,05;5,07;CHAMBRES;20;OUI;NON;OUI;NON;80;5
AIT OUDINAR;GORGES DE DADES;31,00;5,13;CHAMBRES;40;OUI;OUI;OUI;NON;60;4
KASBAH DE LA VALLEE;GORGES DE DADES;31,02;5,10;CHAMBRES;20;OUI;NON;OUI;NON;80;2
PATTES DE SINGES;GORGES DE DADES;31,12;5,14;TENTES;15;OUI;OUI;OUI;NON;60;3
SOLEIL BLEU;SORTIE BOULMANE;31,03;5,13;CHAMBRES;10;OUI;OUI;OUI;NON;80;3
LE TAFOUYT;HAUT GORGES TODRA;31,00;5,03;CHAMBRES;5;OUI;NON;OUI;NON;60;2
BADDOU;HAUT GORGES TODRA;31,00;5,03;CHAMBRES;25;OUI;NON;OUI;NON;80;5
LES AMIS;HAUT GORGES TODRA;31,00;5,03;CHAMBRES;20;OUI;OUI;OUI;OUI;70;3
DU LAC;EN MONTANT GORGES DE TODRA;31,05;5,09;CHAMBRES;25;OUI;NON;OUI;NON;75;2
L'ATLAS;EN MONTANT GORGES DE TODRA;31,05;5,09;CHAMBRES;20;OUI;OUI;OUI;NON;75;4
LE SOLEIL;EN BAS GORGES DE TODRA;31,03;5,08;CHAMBRES;40;OUI;OUI;OUI;OUI;85;3
AZLAG;EN BAS GORGES DE TODRA;31,03;5,08;CHAMBREES;15;OUI;OUI;OUI;NON;70;2
CLIMAT DU MAROC;BOUARFA;32,02;1,12;HOTEL;10;OUI;NON;OUI;NON;65;2
FIGUIG HOTEL;LIMITE DE L'OASIS;32,10;1,05;HOTEL;6;OUI;OUI;OUI;OUI;75;4
SOURCE BLEUE DE MESQUI;VERS ERRACHIDIA;31,02;4,12;;30;OUI;OUI;OUI;NON;65;2
TISSIRT;ROUTE D'ERFOUD;31,12;4,08;;20;OUI;OUI;OUI;NON;75;3
SIJILMASSA;ENTRE AOUFFOUSS ET MAADID;31,15;4,04;;30;OUI;OUI;OUI;NON;65;3
TIFINA;8 KM AU SUD ERFOUD;31,09;4,10;;90;OUI;OUI;OUI;OUI;90;5
KAOUKI BEACH;SUD ESSAOUIRA;31,02;9,12;;40;OUI;OUI;NON;NON;75;3
MUNICIPALE IMSOUANE;ENTRE ESSAOUIRA ET AGADIR;30,00;9,15;;50;OUI;NON;NON;NON;70;2
TERRE OCEAN;3KM AVANT TAGHAZOUT;30,05;9,07;;120;OUI;OUI;OUI;OUI;100;5
